date,target,month,Summer,Winter,Autumn,Spring,quarter_1,quarter_2,quarter_3,quarter_4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,weekend,holidays_flag,vacations_flag,temp,humidity,wind,raining
9/16/2022,89,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
9/17/2022,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
9/18/2022,263,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
9/19/2022,257,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
9/20/2022,233,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
9/21/2022,231,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
9/22/2022,240,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
9/23/2022,101,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
9/24/2022,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
9/25/2022,197,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
9/26/2022,251,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
9/27/2022,209,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
9/28/2022,201,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
9/29/2022,211,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
9/30/2022,125,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
10/01/2022,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
10/02/2022,205,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
10/03/2022,236,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
10/04/2022,240,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
10/05/2022,203,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
10/06/2022,216,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
10/07/2022,97,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
10/08/2022,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
10/09/2022,229,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
10/10/2022,201,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
10/11/2022,281,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
10/12/2022,241,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
10/13/2022,273,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
10/14/2022,91,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
10/15/2022,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
10/16/2022,251,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
10/17/2022,236,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
10/18/2022,268,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
10/19/2022,245,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
10/20/2022,228,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
10/21/2022,101,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
10/22/2022,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
10/23/2022,213,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
10/24/2022,211,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
10/25/2022,233,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
10/26/2022,207,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
10/27/2022,173,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
10/28/2022,77,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
10/29/2022,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
10/30/2022,213,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
10/31/2022,211,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
11/01/2022,201,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
11/02/2022,156,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
11/03/2022,193,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
11/04/2022,79,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
11/05/2022,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
11/06/2022,156,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
11/07/2022,187,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
11/08/2022,175,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
11/09/2022,177,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
11/10/2022,173,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
11/11/2022,61,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
11/12/2022,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
11/13/2022,176,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
11/14/2022,176,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
11/15/2022,180,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
11/16/2022,153,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
11/17/2022,176,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
11/18/2022,45,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
11/19/2022,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
11/20/2022,199,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
11/21/2022,168,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
11/22/2022,193,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
11/23/2022,132,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
11/24/2022,171,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
11/25/2022,63,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
11/26/2022,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
11/27/2022,159,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
11/28/2022,176,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
11/29/2022,183,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
11/30/2022,155,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
12/01/2022,148,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
12/02/2022,60,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
12/03/2022,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
12/04/2022,168,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
12/05/2022,179,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
12/06/2022,189,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
12/07/2022,179,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
12/08/2022,121,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
12/09/2022,71,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
12/10/2022,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,None,None,None,None
12/11/2022,160,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,None,None,None,None
12/12/2022,177,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,None,None,None,None
12/13/2022,187,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,None,None,None,None
12/14/2022,207,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,None,None,None,None
12/15/2022,232,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,None,None,None,None
12/16/2022,61,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,None,None,None,None
12/17/2022,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
12/18/2022,212,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
12/19/2022,204,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
12/20/2022,157,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
12/21/2022,209,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
12/22/2022,224,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
12/23/2022,83,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
12/24/2022,8,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
12/25/2022,207,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
12/26/2022,207,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
12/27/2022,185,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
12/28/2022,211,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
12/29/2022,251,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
12/30/2022,52,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
12/31/2022,5,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
01/01/2023,259,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
01/02/2023,235,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
01/03/2023,220,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
01/04/2023,212,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
01/05/2023,244,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
01/06/2023,63,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
01/07/2023,3,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
01/08/2023,207,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
01/09/2023,213,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
01/10/2023,188,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
01/11/2023,204,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
01/12/2023,89,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,None,None,None,None
1/13/2023,11,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None
1/14/2023,5,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None
1/15/2023,201,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None
1/16/2023,235,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,None,None,None,None
1/17/2023,249,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,None,None,None,None
